Generation number, Milliseconds from start, Fitness
0,70294737,244555
1,70327634,392630
2,70359257,449062
3,70391724,469535
4,70432854,474202
5,70470195,487577
6,70510235,490355
7,70550365,492291
8,70590586,501513
9,70635412,503425
10,70679240,503425
11,70727440,503425
12,70774587,509432
13,70822685,510344
14,70869703,513189
15,70919107,519201
16,70967547,521497
17,71017460,521497
18,71068564,528290
19,71118543,539571
20,71169024,539571
21,71222091,546306
22,71273499,546306
23,71327111,546306
24,71379592,546312
25,71432153,546312
26,71485371,546312
27,71542603,547935
28,71598025,553266
29,71654698,553266
30,71713158,553266
31,71771532,554317
32,71831116,556945
33,71889771,556945
34,71951687,556945
35,72012963,557609
36,72072864,557609
37,72135031,559432
38,72200164,559585
39,72267654,559585
40,72335642,563170
41,72400931,563413
42,72465764,568343
43,72531638,568343
44,72598582,572199
45,72670779,572199
46,72741557,572199
47,72808467,572733
48,72881884,572733
49,72952218,572733
50,73023618,573127
51,73100773,573127
52,73180880,573127
53,73257407,573127
54,73336950,573127
55,73416490,574278
56,73496590,574278
57,73579584,574278
58,73662235,574405
59,73748406,575716
60,73830263,575716
61,73913813,575716
62,73999142,577072
