Generation number, Milliseconds from start, Fitness
0,51824708,244751
1,51857093,387768
2,51887906,453600
3,51922873,476798
4,51958210,483288
5,51997837,483288
6,52037300,490576
7,52079310,493480
8,52124501,497976
9,52169622,501111
10,52215979,502398
11,52261154,508661
12,52309935,509837
13,52356399,510837
14,52406201,523430
15,52453722,523430
16,52502892,523430
17,52551625,525174
18,52604571,525174
19,52654489,531873
20,52707564,531873
21,52759829,534640
22,52813997,535337
23,52866517,537365
24,52921884,538324
25,52973674,541141
26,53029340,541141
27,53085815,545208
28,53141754,545208
29,53196376,553046
30,53253404,553046
31,53314761,553046
32,53373981,554102
33,53434565,558548
34,53494887,558548
35,53559815,561025
36,53622855,561025
37,53684194,561025
38,53748403,561025
39,53814611,567991
40,53881027,567991
41,53948836,567991
42,54015779,567991
43,54079962,570737
44,54151418,570737
45,54221262,572315
46,54291819,575688
47,54363899,577182
48,54435396,577182
49,54509025,577182
50,54580301,578165
51,54651895,578165
52,54723011,578165
53,54799543,578165
54,54875826,578165
55,54952167,578165
56,55030439,578447
57,55114046,578447
58,55192109,578447
59,55272879,578447
60,55354098,578447
61,55438259,578579
62,55517862,578871
