Generation number, Milliseconds from start, Fitness
0,33337904,245106
1,33372702,390201
2,33404818,468276
3,33439414,475529
4,33477384,484942
5,33513791,484942
6,33552282,490993
7,33593847,490993
8,33637327,495856
9,33681691,502448
10,33725565,510763
11,33774361,515080
12,33819894,515080
13,33867452,518795
14,33915586,524404
15,33968242,531056
16,34016079,531056
17,34067499,531056
18,34118963,536120
19,34172324,546624
20,34223864,546624
21,34279873,546624
22,34332228,546624
23,34388158,549067
24,34441489,552382
25,34499078,552382
26,34552811,553822
27,34611947,553822
28,34672202,553822
29,34729385,553822
30,34789298,558259
31,34848185,558259
32,34907033,561492
33,34971841,561492
34,35034300,561492
35,35096535,561492
36,35161115,561492
37,35226142,568426
38,35296920,568426
39,35362947,571335
40,35431035,571335
41,35502861,571335
42,35577676,571335
43,35646062,571335
44,35721540,573034
45,35795230,573034
46,35869582,573034
47,35943974,573034
48,36017602,573381
49,36092693,573381
50,36166436,574465
51,36246279,574465
52,36325292,578882
53,36402094,578882
54,36476381,581117
55,36551286,581117
56,36629739,581117
57,36708514,581117
58,36784902,581823
59,36863271,581823
60,36943805,582474
61,37030752,583325
