Generation number, Milliseconds from start, Fitness
0,57328722,38091
1,57328732,38091
2,57329024,50588
3,57329563,51698
4,57330052,51698
5,57330455,60297
6,57330853,77656
7,57331333,81153
8,57331742,98281
9,57332236,115347
10,57332777,115347
11,57333263,115347
12,57333815,115347
13,57334418,126388
14,57334938,126388
15,57335753,127869
16,57336374,131177
17,57337119,156934
18,57337933,156934
19,57338809,156934
20,57339618,159840
21,57340567,161020
22,57341579,167948
23,57342546,178038
24,57343905,178038
25,57344982,178038
26,57346226,184149
27,57347534,184149
28,57348834,184149
29,57350388,185781
30,57351804,185781
31,57353440,192023
32,57354910,192023
33,57356597,200225
34,57358408,200225
35,57360106,200225
36,57362026,200225
37,57363763,200225
38,57365618,200225
39,57367497,203451
40,57369443,203451
41,57371420,203600
42,57373369,203600
43,57375097,203600
44,57377111,203600
45,57379407,203600
46,57381375,203600
47,57383191,203600
48,57385382,203600
49,57387400,207275
50,57389534,207275
51,57391673,207275
52,57393695,207275
53,57395683,208245
54,57397588,208245
55,57399977,208245
56,57401800,208245
57,57403727,208245
58,57405947,208245
59,57408184,212045
60,57410228,212045
61,57412465,212045
62,57414469,212045
63,57416702,212045
64,57419028,212045
65,57421074,212045
66,57423123,212045
67,57425198,213768
68,57427393,213768
69,57429420,213768
70,57431736,221523
71,57433940,221523
72,57436126,221523
73,57438512,221523
74,57440878,221523
75,57443056,221523
76,57445205,221523
77,57447499,221523
78,57449595,221523
79,57451914,222923
80,57453998,222923
81,57456310,222923
82,57458376,222923
83,57460702,225342
84,57462751,225342
85,57465055,225342
86,57467155,225342
87,57469328,225342
88,57471609,225342
89,57473939,225342
90,57475840,225342
91,57478118,225342
92,57480189,225342
93,57482618,225342
94,57485043,225342
95,57487141,225342
96,57489302,225342
97,57491573,225342
98,57493952,225342
99,57496185,225342
100,57498355,225817
101,57500692,225817
102,57502883,225817
103,57505131,225817
104,57507475,225931
105,57509761,225931
106,57512067,225931
107,57514507,225931
108,57516608,225931
109,57518842,227869
110,57521137,227869
111,57523545,227869
112,57525949,227869
113,57528382,227869
114,57530465,227869
115,57533199,227869
116,57535528,228450
117,57538218,228852
118,57540468,228852
119,57542869,228852
120,57545462,228852
121,57547815,229148
122,57550195,231967
123,57552214,231967
124,57554606,231967
125,57556918,231967
126,57559494,231967
127,57561960,231967
128,57564408,235179
129,57566651,235179
130,57568970,236822
131,57571444,236822
132,57574304,236822
133,57576819,239032
134,57579159,239032
135,57581349,239032
136,57583866,239032
137,57586506,239032
138,57589020,239032
139,57591162,239032
140,57593590,239032
141,57595982,239032
142,57598636,239032
143,57600852,239032
144,57603216,239032
145,57605722,239032
146,57608044,239032
147,57610458,241144
148,57612743,241144
149,57615231,241144
150,57617538,241144
151,57620202,241144
152,57622649,241144
153,57625073,241144
154,57627546,241144
155,57629934,241144
156,57632554,241144
157,57634858,241144
158,57637285,243289
159,57639681,243289
160,57642237,243289
161,57644781,243289
162,57647447,243289
163,57649773,243289
164,57652449,243289
165,57654734,243289
166,57657314,243289
167,57659782,243289
168,57662180,243289
169,57664539,243291
170,57666882,243291
171,57669356,243291
172,57671738,243291
173,57674217,243291
174,57676450,243291
175,57678841,243673
176,57681275,243673
177,57683518,243673
