Generation number, Milliseconds from start, Fitness
0,1808642,35953
1,1808652,35953
2,1808956,44563
3,1809629,48796
4,1809990,59609
5,1810404,59609
6,1810853,59703
7,1811264,82902
8,1811768,98467
9,1812205,98467
10,1812681,98467
11,1813216,111687
12,1813722,116861
13,1814215,116861
14,1814742,143984
15,1815324,143984
16,1815917,143984
17,1816515,143984
18,1817226,145905
19,1818032,145905
20,1818782,157248
21,1819650,157248
22,1820551,176220
23,1821487,176220
24,1822360,178305
25,1823471,179593
26,1824508,185438
27,1825802,185438
28,1827096,185438
29,1828334,185438
30,1829591,193674
31,1831057,193674
32,1832451,200467
33,1834002,200467
34,1835573,200467
35,1837255,201753
36,1838931,201753
37,1840677,201753
38,1842369,201753
39,1844197,210451
40,1845964,210451
41,1847637,210451
42,1849489,210451
43,1851272,210451
44,1853084,215376
45,1855164,215376
46,1856966,215376
47,1859021,219382
48,1860892,219382
49,1862910,219382
50,1864849,219382
51,1866904,220066
52,1868986,220066
53,1870823,220066
54,1872933,220308
55,1874853,220308
56,1876836,220308
57,1878886,227652
58,1880907,227652
59,1883031,227652
60,1885219,227652
61,1887612,227652
62,1889593,227652
63,1891871,227652
64,1894261,227652
65,1896354,227652
66,1898483,227652
67,1900639,228729
68,1902981,228729
69,1904987,228729
70,1907276,231100
71,1909517,231100
72,1911689,231100
73,1913895,231100
74,1915937,231100
75,1918192,231156
76,1920462,231323
77,1922790,231323
78,1924892,231323
79,1927142,231323
80,1929233,231323
81,1931495,231323
82,1933780,231323
83,1935969,232575
84,1938123,232941
85,1940448,232941
86,1942699,232941
87,1945203,232941
88,1947237,232941
89,1949632,232941
90,1951903,232941
91,1954401,232941
92,1956738,234367
93,1959037,234367
94,1961399,234367
95,1963401,234367
96,1965720,234367
97,1967953,237611
98,1970237,237611
99,1972503,237611
100,1974737,237611
101,1977017,237611
102,1979221,237611
103,1981593,237611
104,1983744,237611
105,1986035,237611
106,1988335,237611
107,1990594,237611
108,1993213,238407
109,1995356,238407
110,1997419,239965
111,1999718,239965
112,2001889,239965
113,2004296,239965
114,2006419,239965
115,2008721,239965
116,2011031,239965
117,2013244,239965
118,2015387,244025
119,2017546,244025
120,2020010,244025
121,2022240,244025
122,2024723,244025
123,2027241,244025
124,2029378,244025
125,2031839,244150
126,2034066,244150
127,2036598,244408
128,2038830,244408
129,2040942,244408
130,2043363,244408
131,2045673,244408
132,2048001,244408
133,2050391,244408
134,2052744,244408
135,2054928,246427
136,2057089,246427
137,2059529,246427
138,2061997,246427
139,2064184,246427
140,2066434,246427
141,2068575,246427
142,2071209,246427
143,2073465,246427
144,2075786,246427
145,2078292,246427
146,2080580,246427
147,2082837,246427
148,2085101,246427
149,2087656,246427
150,2090032,246427
151,2092229,246427
152,2094600,246427
153,2096978,247080
154,2099233,247080
155,2101791,247080
156,2103933,247080
157,2106325,247080
158,2108631,247080
159,2111184,247080
160,2113608,247080
161,2115940,247104
162,2118400,247104
163,2120750,247104
164,2123163,247104
165,2125545,247104
166,2127672,247104
167,2130240,247104
168,2132529,247104
169,2135070,247104
170,2137553,247104
171,2139816,247104
172,2142320,247104
173,2144636,247104
174,2147336,247104
175,2149408,250938
176,2151877,250938
177,2154297,250938
178,2156648,251008
179,2158960,251008
180,2161138,251008
181,2163442,251056
182,2165897,252273
183,2168107,252273
184,2170247,252273
185,2172682,252273
186,2175012,252273
187,2177625,252273
