Generation number, Milliseconds from start, Fitness
0,3619412,40755
1,3621693,48173
2,3624065,68047
3,3626374,86038
4,3629131,97799
5,3631976,126947
6,3635037,146684
7,3638902,157928
8,3643211,177815
9,3648061,192191
10,3653675,192191
11,3660026,192191
12,3666894,192191
13,3674632,192191
14,3683157,197739
15,3691795,199256
16,3700922,203128
17,3710560,207896
18,3720679,207896
19,3730660,207896
20,3740813,207896
21,3751845,211955
22,3762521,212174
23,3773437,212174
24,3784463,212174
25,3795313,215649
26,3806483,217222
27,3817585,223031
28,3829254,223031
29,3839873,223031
30,3851290,227036
31,3862535,228463
32,3873593,228463
33,3884769,228463
34,3895791,228463
35,3906937,228646
36,3918232,228646
37,3929570,240072
38,3940770,240072
39,3952039,240072
40,3963222,240072
41,3974161,240072
42,3986073,240072
43,3997507,240072
44,4009564,240072
45,4021062,241629
46,4032794,244343
47,4044468,244343
48,4055987,244343
49,4067686,244343
50,4079208,244343
51,4091018,244343
52,4102001,245882
53,4113850,245882
54,4126191,246498
55,4138163,247397
56,4149553,247397
57,4161579,247397
58,4173974,247397
59,4185633,247397
60,4197478,247397
61,4209409,248056
62,4220901,248056
63,4232155,248056
64,4244118,248056
65,4256134,249473
66,4267782,249473
67,4279742,249473
68,4292199,249473
69,4304523,249473
70,4316162,249473
71,4328483,249473
72,4340772,252267
73,4352392,252267
74,4365090,252267
75,4377619,252267
76,4389553,255831
77,4401562,255831
78,4413876,255831
79,4426370,255831
80,4438749,255831
81,4450596,255831
82,4463567,255831
83,4475979,260116
84,4488705,260116
85,4501133,260116
86,4513040,260116
87,4525833,260116
88,4537741,263785
89,4550549,263785
90,4562904,263785
91,4575481,263785
92,4587631,263785
93,4600371,263785
94,4612979,263785
95,4624903,263785
96,4637562,263785
97,4650315,263785
98,4663294,263785
99,4675996,263785
100,4689229,263785
101,4702057,263785
102,4715389,263785
103,4728690,266666
104,4741653,266666
105,4755094,266666
106,4767482,266666
107,4781041,266666
108,4794310,266666
109,4807226,266666
110,4820154,266666
111,4833064,266666
112,4846613,266666
113,4859466,266666
114,4872935,267667
115,4886665,267667
116,4899898,268255
117,4913571,269001
118,4927000,269001
119,4940594,269001
120,4953572,269001
121,4967683,269408
122,4981808,271768
123,4995351,271768
124,5008759,271768
125,5022060,273007
126,5035504,275809
127,5049137,275809
128,5062534,275897
129,5076127,276081
130,5089422,276081
131,5103305,276081
132,5116862,276083
133,5130437,276083
134,5144032,276083
135,5157341,276156
136,5170671,276346
137,5183647,276346
138,5196586,276346
139,5209654,276785
140,5223041,276785
141,5236321,277198
142,5249569,277198
143,5263280,278228
144,5276877,279063
145,5290078,279254
146,5303615,279279
147,5317398,279279
148,5330712,279279
149,5344421,279279
150,5358091,279279
151,5372367,279877
152,5386986,279877
153,5401796,279877
154,5416168,279877
155,5431115,280641
156,5445107,280641
