Generation number, Milliseconds from start, Fitness
0,3616289,40905
1,3619126,60257
2,3621181,65394
3,3623585,80399
4,3626249,106829
5,3628943,125179
6,3631989,141197
7,3635393,163568
8,3639401,169246
9,3644139,178295
10,3649262,180614
11,3655235,182712
12,3661798,188357
13,3668894,188357
14,3676885,190981
15,3685197,190981
16,3693650,192195
17,3702899,198241
18,3711996,203661
19,3721629,203661
20,3731284,203661
21,3740931,203661
22,3750464,203661
23,3760358,214127
24,3770559,214127
25,3780496,214127
26,3790662,214127
27,3800658,214127
28,3811005,214127
29,3821156,216243
30,3831887,216243
31,3842445,217914
32,3852796,217914
33,3863744,218015
34,3873886,226664
35,3884484,227886
36,3894326,227886
37,3904387,228944
38,3914787,228944
39,3925098,228944
40,3935811,228944
41,3945952,228944
42,3956756,228944
43,3967779,228944
44,3978975,233130
45,3989560,236664
46,4000512,236664
47,4011794,236664
48,4022507,236664
49,4033668,236664
50,4044523,237881
51,4055869,240852
52,4066463,241347
53,4077557,241347
54,4088251,242879
55,4099079,245472
56,4110442,245472
57,4122128,245472
58,4133169,247991
59,4143926,247991
60,4155384,248751
61,4166297,248751
62,4177521,248751
63,4188698,250183
64,4199765,250183
65,4211680,250570
66,4222801,250570
67,4234482,250924
68,4246217,251120
69,4257629,253089
70,4268477,253089
71,4279875,253634
72,4291795,255877
73,4303059,256013
74,4314969,256013
75,4326709,256013
76,4338863,256013
77,4350579,256013
78,4361903,256636
79,4374560,256636
80,4386388,256636
81,4398218,256636
82,4410295,256636
83,4422476,258540
84,4434619,258540
85,4446016,259637
86,4457689,259637
87,4469956,260946
88,4482324,260946
89,4495378,260946
90,4507872,261234
91,4520423,261234
92,4533408,261234
93,4546213,261234
94,4558961,261234
95,4571762,261234
96,4584461,261471
97,4597436,262240
98,4609767,263158
99,4622804,263158
100,4635786,263158
101,4648864,264829
102,4662156,264829
103,4675470,264829
104,4687901,264829
105,4699796,264829
106,4711473,264829
107,4723811,265946
108,4735887,265946
109,4747483,265946
110,4759778,266778
111,4772211,266778
112,4784428,266778
113,4796981,266778
114,4809421,266778
115,4821935,266778
116,4834054,267122
117,4846491,267122
118,4859095,267253
119,4871728,269407
120,4883952,269407
121,4896807,269721
122,4909511,269721
123,4922013,271090
124,4934549,271090
125,4947019,271506
126,4959895,271814
127,4972821,275458
128,4985931,275458
129,4998654,275855
130,5011277,275855
131,5024307,275855
132,5037213,275855
133,5049904,275855
134,5063142,275855
135,5076361,275855
136,5089419,275855
137,5102893,276197
138,5116088,276197
139,5128764,276197
140,5141523,276197
141,5154579,277603
142,5167318,277603
143,5180392,277603
144,5194031,277603
145,5206702,277603
146,5220293,277603
147,5233255,278318
148,5245994,278318
149,5259648,278963
150,5273732,278963
151,5287303,279666
152,5300555,279666
153,5314581,279666
154,5328367,279666
155,5341866,279845
156,5355727,280147
157,5370074,280147
158,5383028,280147
159,5396274,280147
160,5409825,280460
161,5423334,280460
162,5437365,280768
