Generation number, Milliseconds from start, Fitness
0,11151608,244938
1,11151658,244938
2,11154614,390830
3,11164347,390830
4,11169281,404871
5,11174139,435132
6,11180312,452354
7,11186012,452354
8,11192335,452354
9,11198325,474371
10,11204869,474371
11,11212521,474371
12,11218972,474371
13,11226074,474892
14,11236119,491307
15,11243752,491307
16,11251233,499538
17,11259227,499538
18,11267780,499538
19,11276299,499538
20,11284824,499538
21,11292819,499538
22,11302121,499538
23,11310830,499538
24,11319768,499591
25,11329075,504066
26,11340753,504066
27,11350265,504066
28,11359751,504066
29,11369141,504066
30,11378844,504066
31,11388019,504066
32,11397294,504066
33,11407531,504066
34,11416270,504066
35,11426010,504066
36,11439136,507376
37,11449114,507534
38,11459067,507534
39,11468041,507534
40,11477844,510070
41,11487350,510070
42,11497620,510070
43,11507699,510070
44,11517871,510070
45,11528644,510070
46,11539823,510070
47,11549184,510070
48,11560006,514633
49,11569252,514633
50,11578923,514633
51,11589100,514633
52,11598476,514633
53,11608743,519703
54,11618399,519703
55,11628251,519703
56,11639724,519703
57,11650661,519703
58,11660391,519703
59,11670721,519703
60,11680246,519703
61,11691177,519703
62,11700355,519703
63,11711092,519703
64,11720300,519703
65,11730875,519703
66,11744333,519703
67,11755125,519703
68,11764396,519703
69,11775024,519703
70,11785373,519964
71,11795120,519964
72,11805960,521245
73,11815747,521245
74,11826024,521245
75,11839455,521245
76,11850134,521245
77,11860635,521569
78,11870833,521569
79,11880722,521569
80,11891040,521569
81,11902056,521569
82,11912771,521569
83,11923819,521569
84,11936733,521569
85,11947926,521569
86,11958247,522714
87,11968386,522714
88,11979195,522714
89,11990113,522714
90,12001008,524554
91,12011394,524554
92,12022706,529644
93,12033595,529644
94,12046466,529644
95,12057051,529644
96,12068429,529644
97,12079429,529644
98,12091739,531480
99,12102598,531480
100,12113839,531480
101,12125260,531480
102,12138304,531480
103,12150185,533728
104,12161110,533728
105,12172180,533728
106,12184057,533728
107,12196259,535711
108,12207416,539056
109,12218053,539056
110,12229666,539056
111,12243842,542883
112,12256100,542883
113,12267654,542883
114,12278747,542883
115,12291168,542883
116,12302374,542883
117,12314105,542883
118,12324572,542883
119,12339531,542883
120,12351312,542883
121,12362996,542883
122,12373941,542883
123,12385012,542883
124,12398138,542883
125,12409560,542883
126,12422526,542883
127,12433549,542883
128,12448328,542883
129,12460642,542883
130,12471380,542883
131,12483431,542883
132,12495654,542883
133,12507481,542883
134,12519276,542883
135,12531585,542883
136,12546100,543287
137,12557602,543287
138,12570464,543287
139,12581415,543287
140,12593931,543287
141,12606879,543873
142,12619848,543873
143,12630996,543873
144,12645855,543873
145,12658114,543873
146,12669254,543873
147,12682443,543873
148,12694898,543873
149,12706671,543873
150,12718791,543873
151,12732325,543873
152,12747282,543873
153,12759178,543873
154,12771713,543873
155,12784794,543873
156,12797501,543873
157,12810369,545072
158,12823056,545072
159,12834981,545072
160,12850131,545072
161,12863286,545904
162,12875899,545904
163,12888223,545904
164,12901365,545904
165,12915853,545904
166,12927333,545904
167,12943563,545904
168,12956320,545904
169,12969131,545904
170,12982259,545904
171,12995815,545904
172,13008960,545904
173,13021476,545904
174,13035090,545904
175,13050636,545904
176,13062821,545904
177,13076499,545904
178,13090470,545904
179,13102462,545904
180,13115794,545904
181,13128090,545904
182,13144762,547419
183,13156171,547419
184,13169865,547419
185,13183500,547419
186,13195391,547419
187,13209561,547419
188,13223256,547419
189,13236121,548948
190,13251828,548948
191,13264618,548948
192,13277138,548948
193,13290614,548948
194,13304241,548948
195,13316550,548948
196,13330833,548948
197,13346650,548948
198,13359347,548948
199,13372047,548948
200,13385074,548948
201,13397451,548948
202,13411273,548948
203,13423442,548948
204,13436496,548948
205,13451883,548948
206,13464529,548948
207,13478835,548948
208,13492458,550205
209,13504620,550205
210,13518326,550205
211,13531633,550205
212,13547483,550205
213,13560922,550205
214,13574913,550205
215,13587720,550205
216,13600652,550205
217,13614328,550205
218,13626592,550205
219,13643014,550205
220,13656112,550205
221,13669610,550205
222,13682891,550205
223,13695768,550205
224,13708711,550205
225,13722748,550205
226,13735952,550287
227,13750604,550287
228,13764310,550287
229,13776536,550287
230,13790997,550287
231,13804500,550287
232,13817514,550287
233,13832552,550471
234,13846476,550471
235,13861425,550471
236,13873420,550471
237,13888256,550471
238,13901861,550471
239,13915229,550471
240,13927350,550471
241,13942370,550471
242,13956687,550471
243,13971308,550471
244,13986793,550471
245,13999996,550471
246,14012433,550471
247,14026880,550471
248,14040443,550471
249,14055280,550471
250,14069397,550471
251,14081981,550471
252,14095906,550471
253,14109980,550471
254,14123606,550471
255,14135438,550471
256,14150989,550471
257,14164119,550471
258,14178552,550471
259,14190925,550471
260,14204955,550471
261,14218531,550471
262,14230681,550471
263,14245399,550471
264,14259550,550471
265,14272213,550471
266,14284441,550471
267,14299434,550471
268,14311247,550471
269,14326716,550471
270,14339681,550471
271,14355448,550471
272,14369121,550471
273,14382593,550550
274,14397048,550550
275,14409571,550550
276,14423560,550681
277,14436977,550681
278,14453847,550681
279,14467510,550681
280,14480335,550681
281,14494387,550681
282,14508119,550681
283,14521634,550681
284,14535951,550681
285,14552046,550681
286,14565331,550681
287,14577757,550681
288,14593155,550681
289,14605827,550681
290,14620320,550681
291,14633955,550681
292,14650539,550681
293,14663430,550681
294,14676382,550681
295,14690545,550681
296,14703885,550681
297,14717750,550681
298,14731882,550681
299,14747161,550681
300,14761881,550681
301,14774284,550681
