Generation number, Milliseconds from start, Fitness
0,63726351,133171
1,63747379,222402
2,63768672,310804
3,63792398,318460
4,63819769,320552
5,63850889,323102
6,63885388,324205
7,63925174,324205
8,63966157,326431
9,64009568,326431
10,64053392,326431
11,64098734,326431
12,64144140,326431
13,64188325,326431
14,64238014,326431
15,64285612,326431
16,64331335,326431
17,64377391,326431
18,64423719,326431
19,64470698,326431
20,64517029,326431
21,64564856,326489
22,64611113,326489
23,64661183,326861
24,64704937,326861
25,64750775,327597
26,64798973,327597
27,64845400,327597
28,64893982,327963
29,64941836,327963
30,64989608,327963
31,65036640,327963
32,65084508,329076
33,65133124,329076
34,65181285,329076
35,65231285,329076
36,65277885,329076
37,65325388,329222
38,65373286,330104
39,65422798,330104
40,65471233,330104
41,65518160,330104
42,65565534,330104
43,65614508,330104
44,65661929,330264
45,65712170,330264
46,65760802,330264
47,65810812,331069
48,65858913,331069
49,65906768,331069
50,65954473,331525
51,66003082,331525
52,66050814,331525
53,66100961,331525
54,66147121,331525
55,66197192,331525
56,66242794,331525
57,66289600,331525
58,66335849,331525
59,66382236,331525
60,66426974,331849
61,66470162,332373
