Generation number, Milliseconds from start, Fitness
0,45247215,133850
1,45268221,225048
2,45290506,305279
3,45314611,318897
4,45341288,321924
5,45372504,322040
6,45407014,324014
7,45446347,325977
8,45486078,325977
9,45528416,325977
10,45574077,326549
11,45619047,327388
12,45664098,327388
13,45708743,327388
14,45753951,327388
15,45803592,327388
16,45849061,327423
17,45895488,327423
18,45940127,327423
19,45988157,327518
20,46034688,327533
21,46082066,327668
22,46129307,328706
23,46179040,328706
24,46227197,328755
25,46274335,328850
26,46321650,329242
27,46368781,329287
28,46413909,329287
29,46463963,329856
30,46510512,329856
31,46559405,329902
32,46606057,330393
33,46653124,330677
34,46700761,330677
35,46746452,331670
36,46792907,331670
37,46839908,331670
38,46886287,331670
39,46934342,332566
40,46982178,332566
41,47030141,332566
42,47075445,332566
43,47122826,332566
44,47169249,332566
45,47213802,332566
46,47258483,332566
47,47303865,332566
48,47349501,332928
49,47397900,332928
50,47445995,332928
51,47491431,333202
52,47536967,333202
53,47581060,333202
54,47627875,333202
55,47675443,333202
56,47723538,333202
57,47769311,333202
58,47814270,333202
59,47858675,333202
60,47905433,333202
61,47953237,333431
62,47997437,334483
