Generation number, Milliseconds from start, Fitness
0,26743873,133417
1,26765586,222663
2,26786874,309915
3,26810940,323349
4,26836939,324847
5,26868220,324847
6,26903670,325305
7,26942856,325305
8,26985192,325305
9,27032983,325305
10,27083673,326487
11,27133898,326487
12,27182481,326487
13,27230508,326487
14,27281614,326922
15,27329679,327155
16,27378284,327155
17,27427079,328252
18,27476962,328252
19,27526640,328252
20,27576108,328252
21,27626390,329361
22,27676707,329361
23,27727287,329361
24,27773189,329361
25,27821392,330139
26,27869744,330139
27,27919378,330253
28,27967745,330253
29,28015268,330253
30,28062067,330253
31,28109223,330443
32,28158638,330849
33,28203793,330849
34,28250341,330849
35,28296792,331171
36,28344741,331171
37,28391669,331171
38,28439606,331171
39,28487697,331171
40,28538565,331304
41,28585716,332338
42,28635071,332338
43,28683221,332338
44,28730498,332338
45,28777940,332338
46,28825959,332763
47,28872530,332763
48,28919626,332763
49,28964649,332915
50,29012456,332944
51,29059034,332974
52,29106734,332974
53,29155099,333030
54,29200452,333030
55,29245877,333030
56,29291849,333030
57,29337407,333031
58,29381804,333090
59,29427653,333090
60,29474787,333090
61,29521015,333161
